,,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,120,121,122,123,124,125,126,127,128,130,131,132,133,134,__
,,____,__,______,__,__,____,__________,_____,__,_____,_____,_____,_________,_______,__________,_______,__,________________,___,______,____________,______,______,____________,____,________,____,________,________,______________________,____,____,___,_______________,____,____,________,____,___________,_________,___________,___,"_________
__",_____,__,____,________,_________,________,__________,________,_____,_____,_____,______,________,_______,_______,____________,________,__________,___________,___,__________,______,____________,__________,___________,__,____,____,________,__,______,__,_____,__,__,_____,_________,_____,____,____,__,____,______,__,________,______,__,__,______,_____________,____________,__,__,__,____,_________,__,_____________,________,__,__________,____________,___,______,____________,______,___________,____,____,___,_____,________,__,__,__,____,_________,____,__,__,____,_____________,__(__)
009,__,0,0,0,0,0,0,0,0,7.76E+07,75636736.83,90743.41726,0,7085.222294,0,4440.303807,49461.20525,117530.3082,30268.76034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.001247939,0,0,2252738.461,0,55345.56809,0,1138.703219,0,0,0,0,0,0,94651.92571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.6109814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155957930.5
010,_____,0,0,0,0,0,0,0,0,75636736.83,75636736.83,90743.41726,0,7085.222294,0,4440.303807,49461.20525,117530.3082,30268.76034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.001247939,0,0,0,0,55345.56809,0,0,0,0,0,0,0,0,94651.92571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.6109814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151723423
011,_____,0,0,0,0,0,0,0,0,21520.31447,21520.31447,2.53E+08,0,2246.199434,154323.496,3954.584572,401528.0699,29794.30917,840.7706422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400.261596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706.6484989,0,0,0,0,399779.4662,0,0,0,0,0,0,0,0,60654.94617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10518.88301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254250930.9
012,_____,0,0,0,0,0,0,0,0,0,0,0,173691423.4,78.07447189,0,848.4946712,104538.3982,151,19534.88911,0,0,0,0,0,0,0,0,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38213.11376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173855550.3
013,_________,0,0,0,0,0,0,0,0,10643.70436,10643.70436,2499.322416,17539.3765,181810301.2,7704.098594,47902.33128,695382.3075,0,0,0,0,0,0,0,0,0,109.8139636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.7320417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182603176.6
014,_______,0,0,0,0,0,0,0,0,7461.278576,7461.278576,80071.16773,10.00027004,5769.503281,1.70E+08,20385.91093,66639.27329,73294,0,0,0,0,0,0,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.00002243,0,0,0,0,0,0,0,0,0,0,0,0,0,1708.851019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170329629.1
015,__________,0,0,0,0,0,0,0,0,31710.32013,31710.32013,5048.876294,0,0,11976.54232,507027421.1,118703.354,1406.288825,491593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6614,0,0,0,0,19813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.3290074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507746271.1
016,_______,0,0,0,0,0,0,0,0,19908.47012,19908.47012,304077.1417,26551.00518,106785.4992,120310.6903,86703.69621,4.05E+08,4682.398723,17112.297,0,0,56.5996475,0,0,0,0,0,13455.55549,0,9338.941838,9338.941838,0,0,7569.192145,8607.189252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31467.24306,0,0,0,0,0,23898.21725,0,0,0,0,52529.90378,0,0,0,0,0,0,0,0,19736.54763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9844.571367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405491962
017,__,0,0,0,0,0,0,0,0,328.5259763,328.5259763,63.06932401,254.214381,12143.93734,69450.80725,3516.193974,28877.37557,507974328.6,0,0,0,0,0,0,0,0,0,0,602,125932.3019,125932.3019,156,0,0,4243,0,0,0,0,0,0,0,0,751.350064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.0003297,0,0,0,0,0,0,0,0,0,0,0,0,0,5849.724918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508353051.9
018,________________,0,0,0,0,0,0,0,0,87.4580615,87.4580615,331.3741856,0,0,20.27505847,91389.90008,796.5562829,35.24109015,181691263.5,0,0,0,16117.42986,0,0,0,0,0,0,0,0,2367.19437,0,0,5968.833783,0,0,0,0,344.3557951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.4355182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181809295
019,___,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165831622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165831622
020,______,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664212885.5,1004.951599,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,114.4022114,0,0,0,0,0,0,0,0,0,0,0,0,0,4601.939647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3761.192016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664222605
021,____________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,0,8773.707938,668275512.1,0,856.3199348,0,0,3448.748917,0,0,0,0,0,591,0,0,0,0,1012.163983,997,303,0,0,0,5602.082344,0,0,0,992.6289125,0,0,180.623026,1388,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,2525.140212,0,0,0,0,0,9507.010872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260347.2341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668573388.8
022,______,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7656.754922,0,10601.22064,0,0,0,5.10E+08,239949.9295,0,103,0,0,0,0,0,0,0,0,2747.824583,0,0,12968,0,0,0,0,0,0,0,0,0,0,0,0,180.6438255,301.7129852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6852.861024,0,0,0,0,0,10.00116276,0,0,0,0,0,10797.01462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7691.845065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510538758.5
023,______,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139546.836,845512439.5,130.1061224,0,1297.673621,0,0,0,0,0,0,0,0,0,0,1968.568811,0,0,1591.821239,0,0,0,0,0,0,0,0,0,12779.57041,21666.81399,0,0,70.05455963,0,0,0,0,0,0,0,3716,0,0,0,0,9719.102661,0,0,0,0,0,36.02576137,0,0,0,0,0,2343.541278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49863.66016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845757169.2
024,____________,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529895748.1,85417,0,0,15898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098861.232,0,0,0,0,0,9382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531122967.3
025,____,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31655.25014,150,0,728781,337159559.9,5007.351426,0,0,0,0,0,0,0,0,0,0,8533.000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337947406.5
